Company Name,Industry,Symbol,Series,ISIN Code
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
