Symbol,Sector
METALIETF,Metal
OILIETF,Oil & Gas
FMCGIETF,FMCG
AUTOIETF,Auto
BANKIETF,Bank
ITIETF,IT
PHARMABEES,Pharma
MOINFRA,Infrastructure
COMMOIETF,Commodity
MOENERGY,Energy
MOREALTY,Realty
